"","FBspecies","a","b","Locality"
"280","Diplodus vulgaris","0.0309","2.894","Southern Agean Sea / 2009-2010."
"281","Diplodus vulgaris","0.0131","3.124","Iskenderun Bay / 2000-2000"
"282","Diplodus vulgaris","0.018","2.936","Zakynthos Island / 2013-2017."
"283","Diplodus vulgaris","0.0179","2.9713","Çanakkale Strait / 2017-2018"
"284","Diplodus vulgaris","0.0156","3.0122","Çanakkale Strait / 2017-2018"
"285","Diplodus vulgaris","0.01","3.134","Gökçeada Island, northern Aegean Sea / 2013-2014."
"286","Diplodus vulgaris","0.0225","2.914","GFCM GSA 26; off the coast of Egypt / 2008-2010, 2017-2018."
"287","Diplodus cervinus","0.0116","3.14","South-west coast, 1992-94"
"288","Diplodus cervinus","0.007","3.28","French Catalan coast / 2007-2010."
"289","Diplodus cervinus","0.014","3.02","Continental shelf and upper slope / 2008-2011"
"290","Argyrosomus regius","0.0221","2.773","Buchan, 1939-1962"
"291","Argyrosomus regius","0.00826","3.059","Bay of Biscay"
"292","Argyrosomus regius","0.009","2.86",NA
"293","Argyrosomus regius","0.0143","2.888","off Algarve coast, 1998-00"
"294","Argyrosomus regius","0.0333","2.676","Gulf of Cadiz, 2009-11"
"295","Argyrosomus regius","0.0114","2.976","GFCM GSA 26; off the coast of Egypt / 2008-2010, 2017-2018."
"296","Pagrus auriga","0.01905","3",NA
"297","Diplodus puntazzo","0.0717","2.951","Eastern Adriatic, 1991-94"
"298","Diplodus puntazzo","0.0229","2.841","off Algarve coast, 1998-00"
"299","Diplodus puntazzo","0.026","2.8188","Balearic Islands and eastern coast of Iberian Peninsula / 1991-2001."
"300","Diplodus puntazzo","0.0108","3.273","Mar Menor lagoon, 2002-2004"
"301","Diplodus puntazzo","0.0044","2.662","Gökceada Island (northern Aegean Sea), 2004-2055"
"302","Diplodus puntazzo","0.01835","2.96","Arade estuary, central Algarve, 2004-2007"
"303","Diplodus puntazzo","0.01835","2.96","Arade Estuary/ 2004 - 2007"
"304","Diplodus puntazzo","0.0114","3.165","Erdek Bay (27°20'- 27°52' E; 40°18'-40°28' N), Sea of Marmara, 2000-2001"
"305","Diplodus puntazzo","0.0227","3.184","Acquatina, Lecce / 2007-2008"
"306","Diplodus puntazzo","0.01854","3.12","Eastern Ionian Sea / 2008-2010."
"307","Diplodus puntazzo","0.0243","2.831","Korinthiakos Gulf / 2008-2009"
"308","Diplodus puntazzo","0.0136","3.028","Gulf of Tunis / 2016."
"309","Diplodus puntazzo","0.006","3.564","Gökçeada Island, northern Aegean Sea / 2013-2014."
"310","Diplodus puntazzo","0.0429","2.7025","between Sinop and Hopa/2018-2019"
